arm,size,pct_line,offered,returned,missing,client_imissed,client_loss_pct,dut_lost,dut_loss_pct,raw_loss_pct
fsA_bigbuf,64,1.00,4744789,4701384,43405,23704,0.4996,19701,0.4152,0.9148
fsA_bigbuf,64,2.00,9461524,9402996,58528,18766,0.1983,39762,0.4202,0.6186
fsA_bigbuf,64,3.00,14160400,14077050,83350,14642,0.1034,68708,0.4852,0.5886
fsA_bigbuf,64,4.00,18865496,18788960,76536,0,0.0,76536,0.4057,0.4057
fsA_bigbuf,64,5.00,23560349,23461773,98576,0,0.0,98576,0.4184,0.4184
fsA_bigbuf,64,6.00,28265297,25928521,2336776,1391,0.0049,2335385,8.2624,8.2673
fsA_bigbuf,64,8.00,37671766,25945360,11726406,0,0.0,11726406,31.1278,31.1278
fsA_bigbuf,64,10.00,47073296,25942096,21131200,0,0.0,21131200,44.89,44.8900
fsA_bigbuf,64,12.00,56477400,25960064,30517336,0,0.0,30517336,54.0346,54.0346
fsA_bigbuf,64,15.00,70584193,25899302,44684891,3034,0.0043,44681857,63.3029,63.3072
fsA_bigbuf,64,20.00,94094996,25932160,68162836,5984,0.0064,68156852,72.4341,72.4404
fsA_bigbuf,64,30.00,141118692,25906520,115212172,8040,0.0057,115204132,81.6363,81.6420
fsA_bigbuf,128,1.00,2652638,2642436,10202,0,0.0,10202,0.3846,0.3846
fsA_bigbuf,128,2.00,5264800,5241811,22989,337,0.0064,22652,0.4303,0.4367
fsA_bigbuf,128,3.00,7877446,7847635,29811,0,0.0,29811,0.3784,0.3784
fsA_bigbuf,128,4.00,10502506,10458718,43788,3314,0.0316,40474,0.3854,0.4169
fsA_bigbuf,128,5.00,13112823,13061449,51374,0,0.0,51374,0.3918,0.3918
fsA_bigbuf,128,6.00,15721411,15658685,62726,0,0.0,62726,0.399,0.3990
fsA_bigbuf,128,8.00,20950570,20863817,86753,0,0.0,86753,0.4141,0.4141
fsA_bigbuf,128,10.00,26179207,25507606,671601,0,0.0,671601,2.5654,2.5654
fsA_bigbuf,128,12.00,31398892,25461264,5937628,0,0.0,5937628,18.9103,18.9103
fsA_bigbuf,128,15.00,39240705,25489408,13751297,0,0.0,13751297,35.0435,35.0435
fsA_bigbuf,128,20.00,52299589,25451536,26848053,0,0.0,26848053,51.3351,51.3351
fsA_bigbuf,128,30.00,78426312,25460044,52966268,2380,0.003,52963888,67.5333,67.5363
fsA_bigbuf,256,1.00,1404298,1399248,5050,0,0.0,5050,0.3596,0.3596
fsA_bigbuf,256,2.00,2808659,2799158,9501,0,0.0,9501,0.3383,0.3383
fsA_bigbuf,256,3.00,4181046,4161019,20027,3588,0.0858,16439,0.3932,0.4790
fsA_bigbuf,256,4.00,5574292,5554096,20196,236,0.0042,19960,0.3581,0.3623
fsA_bigbuf,256,5.00,6968411,6943226,25185,0,0.0,25185,0.3614,0.3614
fsA_bigbuf,256,6.00,8919026,7785422,1133604,477298,5.3515,656306,7.3585,12.7100
fsA_bigbuf,256,8.00,11123870,11080898,42972,0,0.0,42972,0.3863,0.3863
fsA_bigbuf,256,10.00,13882396,13828497,53899,117,0.0008,53782,0.3874,0.3883
fsA_bigbuf,256,12.00,16645815,16579720,66095,0,0.0,66095,0.3971,0.3971
fsA_bigbuf,256,15.00,20798116,20712386,85730,0,0.0,85730,0.4122,0.4122
fsA_bigbuf,256,20.00,27710034,24207883,3502151,0,0.0,3502151,12.6386,12.6386
fsA_bigbuf,256,30.00,41544373,24240592,17303781,0,0.0,17303781,41.6513,41.6513
fsA_bigbuf,512,1.00,723466,721823,1643,0,0.0,1643,0.2271,0.2271
fsA_bigbuf,512,2.00,1447000,1443193,3807,0,0.0,3807,0.2631,0.2631
fsA_bigbuf,512,3.00,2171625,2165729,5896,0,0.0,5896,0.2715,0.2715
fsA_bigbuf,512,4.00,2894768,2886669,8099,0,0.0,8099,0.2798,0.2798
fsA_bigbuf,512,5.00,3617204,3606801,10403,0,0.0,10403,0.2876,0.2876
fsA_bigbuf,512,6.00,4307985,4290021,17964,3349,0.0777,14615,0.3393,0.4170
fsA_bigbuf,512,8.00,5744869,5726507,18362,0,0.0,18362,0.3196,0.3196
fsA_bigbuf,512,10.00,7781126,6852120,929006,497454,6.3931,431552,5.5461,11.9392
fsA_bigbuf,512,12.00,8593130,8564487,28643,0,0.0,28643,0.3333,0.3333
fsA_bigbuf,512,15.00,10741047,10705267,35780,0,0.0,35780,0.3331,0.3331
fsA_bigbuf,512,20.00,14303544,14248010,55534,4612,0.0322,50922,0.356,0.3883
fsA_bigbuf,512,30.00,21427320,21335617,91703,3887,0.0181,87816,0.4098,0.4280
fsA_bigbuf,1024,1.00,368388,367619,769,0,0.0,769,0.2087,0.2087
fsA_bigbuf,1024,2.00,734777,733988,789,0,0.0,789,0.1074,0.1074
fsA_bigbuf,1024,3.00,1101875,1100390,1485,0,0.0,1485,0.1348,0.1348
fsA_bigbuf,1024,4.00,1469167,1467027,2140,0,0.0,2140,0.1457,0.1457
fsA_bigbuf,1024,5.00,1836522,1833673,2849,0,0.0,2849,0.1551,0.1551
fsA_bigbuf,1024,6.00,2203814,2200292,3522,0,0.0,3522,0.1598,0.1598
fsA_bigbuf,1024,8.00,2938328,2933375,4953,0,0.0,4953,0.1686,0.1686
fsA_bigbuf,1024,10.00,3672840,3666385,6455,0,0.0,6455,0.1757,0.1757
fsA_bigbuf,1024,12.00,4373804,4365788,8016,0,0.0,8016,0.1833,0.1833
fsA_bigbuf,1024,15.00,5473942,5463458,10484,0,0.0,10484,0.1915,0.1915
fsA_bigbuf,1024,20.00,7289610,7274530,15080,0,0.0,15080,0.2069,0.2069
fsA_bigbuf,1024,30.00,10905786,10879349,26437,0,0.0,26437,0.2424,0.2424
fsA_bigbuf,1280,1.00,294756,294756,0,0,0.0,0,0.0,0.0000
fsA_bigbuf,1280,2.00,589446,589200,246,0,0.0,246,0.0417,0.0417
fsA_bigbuf,1280,3.00,884204,883553,651,0,0.0,651,0.0736,0.0736
fsA_bigbuf,1280,4.00,1178961,1177941,1020,0,0.0,1020,0.0865,0.0865
fsA_bigbuf,1280,5.00,1473782,1472379,1403,0,0.0,1403,0.0952,0.0952
fsA_bigbuf,1280,6.00,1768538,1766725,1813,0,0.0,1813,0.1025,0.1025
fsA_bigbuf,1280,8.00,2360454,2357875,2579,0,0.0,2579,0.1093,0.1093
fsA_bigbuf,1280,10.00,2947446,2943514,3932,0,0.0,3932,0.1334,0.1334
fsA_bigbuf,1280,12.00,3536936,3532637,4299,0,0.0,4299,0.1215,0.1215
fsA_bigbuf,1280,15.00,4387546,4381850,5696,0,0.0,5696,0.1298,0.1298
fsA_bigbuf,1280,20.00,5849707,5841503,8204,0,0.0,8204,0.1402,0.1402
fsA_bigbuf,1280,30.00,8752117,8737647,14470,0,0.0,14470,0.1653,0.1653
fsA_bigbuf,1514,1.00,249584,249584,0,0,0.0,0,0.0,0.0000
fsA_bigbuf,1514,2.00,499297,499289,8,0,0.0,8,0.0016,0.0016
fsA_bigbuf,1514,3.00,748947,748680,267,0,0.0,267,0.0357,0.0357
fsA_bigbuf,1514,4.00,998661,998160,501,0,0.0,501,0.0502,0.0502
fsA_bigbuf,1514,5.00,1248246,1247526,720,0,0.0,720,0.0577,0.0577
fsA_bigbuf,1514,6.00,1497960,1496978,982,0,0.0,982,0.0656,0.0656
fsA_bigbuf,1514,8.00,1997322,1995816,1506,0,0.0,1506,0.0754,0.0754
fsA_bigbuf,1514,10.00,2496682,2494693,1989,0,0.0,1989,0.0797,0.0797
fsA_bigbuf,1514,12.00,2995910,2993360,2550,0,0.0,2550,0.0851,0.0851
fsA_bigbuf,1514,15.00,3744978,3741540,3438,0,0.0,3438,0.0918,0.0918
fsA_bigbuf,1514,20.00,4955121,4950086,5035,0,0.0,5035,0.1016,0.1016
fsA_bigbuf,1514,30.00,7432392,7423484,8908,0,0.0,8908,0.1199,0.1199
fsB_bigbuf,64,1.00,4745912,4712794,33118,3724,0.0785,29394,0.6194,0.6978
