arm,response_kb,concurrency,keepalive,pass,steady_state,requests,rps,failed,non_2xx,doc_len_bytes,mean_ms_per_req,transfer_kbytes_sec,p50_ms,p90_ms,p99_ms,p100_ms
fsA,1,1,0,1,1,20000,10868.26,0,0,1024,0.092,13511.03,0,0,0,1
fsA,1,1,1,1,1,20000,29750.35,0,0,1024,0.034,37129.83,0,0,0,2
fsA,1,8,0,1,1,20000,25074.28,0,0,1024,0.319,31171.45,0,0,0,1
fsA,1,8,1,1,1,20000,83284.75,0,0,1024,0.096,103943.27,0,0,0,0
fsA,48,1,0,1,1,5000,5655.87,0,0,49152,0.177,272867.89,0,0,0,0
fsA,48,1,1,1,1,5000,8992.84,0,0,49152,0.111,433904.44,0,0,0,2
fsA,48,8,0,1,1,5000,11230.98,0,0,49152,0.712,541840.1,1,1,1,235
fsA,48,8,1,1,1,5000,17115.9,0,0,49152,0.467,825842.27,0,0,1,1
fsA,64,1,0,1,1,2000,410.47,0,0,65536,2.436,26371.24,0,0,2,239
fsA,64,1,1,1,1,2000,7985.24,0,0,65536,0.125,513059.68,0,0,0,0
fsA,64,8,0,1,1,2000,3620.49,0,0,65536,2.21,232602.51,0,1,1,239
fsA,64,8,1,1,1,2000,14277.56,0,0,65536,0.56,917346.9,1,1,1,1
fsB,1,1,0,1,1,20000,9774.73,0,0,1024,0.102,12151.59,0,0,0,0
fsB,1,1,1,1,1,20000,27945.88,0,0,1024,0.036,34877.77,0,0,0,2
fsB,1,8,0,1,1,20000,22177.79,0,0,1024,0.361,27570.63,0,0,0,1
fsB,1,8,1,1,1,20000,69157.01,0,0,1024,0.116,86311.19,0,0,0,1
fsB,48,1,0,1,1,5000,5083.69,0,0,49152,0.197,245263.11,0,0,0,3
fsB,48,1,1,1,1,5000,8163.95,0,0,49152,0.122,393910.35,0,0,0,0
fsB,48,8,0,1,1,5000,8655.33,0,0,49152,0.924,417577.21,1,1,1,239
fsB,48,8,1,1,1,5000,12494.41,0,0,49152,0.64,602855.22,1,1,1,1
fsB,64,1,0,1,1,2000,1721.89,0,0,65536,0.581,110624.74,0,0,0,239
fsB,64,1,1,1,1,2000,7097.86,0,0,65536,0.141,456044.55,0,0,0,1
fsB,64,8,0,1,1,2000,6994.72,0,0,65536,1.144,449383.37,1,1,1,238
fsB,64,8,1,1,1,2000,10158.99,0,0,65536,0.787,652724.91,1,1,1,1
fsBrev,1,1,0,1,0,20000,2560.08,0,0,1024,0.391,3182.6,0,0,0,536
fsBrev,1,1,0,2,1,20000,2223.83,0,0,1024,0.45,2764.58,0,0,0,535
fsBrev,1,1,1,1,0,20000,3175.51,0,0,1024,0.315,3963.18,0,0,0,553
fsBrev,1,1,1,2,1,20000,3213.48,0,0,1024,0.311,4010.58,0,0,0,551
fsBrev,1,8,0,1,0,20000,2446.3,0,0,1024,3.27,3041.15,0,1,8,541
fsBrev,1,8,0,2,1,20000,2881.3,0,0,1024,2.777,3581.93,1,1,8,525
fsBrev,1,8,1,1,0,20000,3000.12,0,0,1024,2.667,3744.29,0,0,3,597
fsBrev,1,8,1,2,1,20000,3267.85,0,0,1024,2.448,4078.43,0,0,3,597
fsBrev,48,1,0,1,0,5000,909.69,0,0,49152,1.099,43887.9,0,0,1,510
fsBrev,48,1,0,2,1,5000,851.06,0,0,49152,1.175,41059.68,0,0,1,506
fsBrev,48,1,1,1,0,5000,944.24,0,0,49152,1.059,45559.45,0,0,2,550
fsBrev,48,1,1,2,1,5000,943.77,0,0,49152,1.06,45537.12,0,0,2,549
fsBrev,48,8,0,1,0,5000,939.96,0,0,49152,8.511,45348.47,1,2,536,551
fsBrev,48,8,0,2,1,5000,940.31,0,0,49152,8.508,45365.22,1,2,539,551
fsBrev,48,8,1,1,0,5000,856.59,0,0,49152,9.339,41330.38,1,2,563,571
fsBrev,48,8,1,2,1,5000,918.1,0,0,49152,8.714,44298.2,1,2,536,580
fsBrev,64,1,0,1,0,2000,716.12,0,0,65536,1.396,46007.83,0,0,1,484
fsBrev,64,1,0,2,1,2000,970.18,0,0,65536,1.031,62330.34,0,0,1,668
fsBrev,64,1,1,1,0,2000,794.9,0,0,65536,1.258,51073.06,0,0,3,538
fsBrev,64,1,1,2,1,2000,998.38,0,0,65536,1.002,64146.71,0,0,2,540
fsBrev,64,8,0,1,0,2000,991.01,0,0,65536,8.073,63668.65,2,2,518,532
fsBrev,64,8,0,2,1,2000,990.57,0,0,65536,8.076,63640.4,2,2,517,572
fsBrev,64,8,1,1,0,2000,785.08,0,0,65536,10.19,50442.34,1,3,550,559
fsBrev,64,8,1,2,1,2000,1000.67,0,0,65536,7.995,64294.28,1,2,539,558
