arm,set_get_ratio,value_bytes,pipeline,op,ops_per_sec,p50_ms,p99_ms,p999_ms
fsA,1:1,100,1,set,80191.74,0.05500,0.07900,0.08700
fsA,1:1,100,1,get,80191.44,0.05500,0.07100,0.08700
fsA,1:1,100,1,total,160383.18,0.05500,0.07900,0.08700
fsA,1:1,100,16,set,306479.77,0.21500,0.31900,0.35100
fsA,1:1,100,16,get,306479.77,0.21500,0.31900,0.35100
fsA,1:1,100,16,total,612959.54,0.21500,0.31900,0.35100
fsA,1:1,1024,1,set,88981.61,0.04700,0.07100,0.09500
fsA,1:1,1024,1,get,88981.41,0.04700,0.07100,0.09500
fsA,1:1,1024,1,total,177963.02,0.04700,0.07100,0.09500
fsA,1:1,1024,16,set,176666.41,0.36700,0.46300,0.62300
fsA,1:1,1024,16,get,176666.01,0.36700,0.46300,0.62300
fsA,1:1,1024,16,total,353332.41,0.36700,0.46300,0.62300
fsA,1:9,100,1,set,16285.39,0.05500,0.07900,0.09500
fsA,1:9,100,1,get,146567.43,0.04700,0.07900,0.09500
fsA,1:9,100,1,total,162852.82,0.04700,0.07900,0.09500
fsA,1:9,100,16,set,52015.49,0.25500,0.39900,0.46300
fsA,1:9,100,16,get,468137.38,0.25500,0.40700,0.47100
fsA,1:9,100,16,total,520152.87,0.25500,0.40700,0.47100
fsA,1:9,1024,1,set,16799.04,0.05500,0.07900,0.09500
fsA,1:9,1024,1,get,151189.95,0.04700,0.07900,0.09500
fsA,1:9,1024,1,total,167988.99,0.04700,0.07900,0.09500
fsA,1:9,1024,16,set,40621.05,0.31100,0.46300,0.55100
fsA,1:9,1024,16,get,365587.34,0.31100,0.46300,0.55100
fsA,1:9,1024,16,total,406208.39,0.31100,0.46300,0.55100
fsB,1:1,100,1,set,74588.43,0.05500,0.08700,0.10300
fsB,1:1,100,1,get,74588.23,0.05500,0.08700,0.10300
fsB,1:1,100,1,total,149176.66,0.05500,0.08700,0.10300
fsB,1:1,100,16,set,226310.48,0.27900,0.39900,0.43100
fsB,1:1,100,16,get,226310.48,0.27900,0.39900,0.43100
fsB,1:1,100,16,total,452620.97,0.27900,0.39900,0.43100
fsB,1:1,1024,1,set,67274.09,0.06300,0.09500,0.11900
fsB,1:1,1024,1,get,67273.89,0.06300,0.09500,0.11100
fsB,1:1,1024,1,total,134547.98,0.06300,0.09500,0.11100
fsB,1:1,1024,16,set,119756.31,0.51100,0.67100,0.74300
fsB,1:1,1024,16,get,119755.96,0.51100,0.67100,0.74300
fsB,1:1,1024,16,total,239512.27,0.51100,0.67100,0.74300
fsB,1:9,100,1,set,14602.17,0.05500,0.08700,0.10300
fsB,1:9,100,1,get,131418.04,0.05500,0.08700,0.10300
fsB,1:9,100,1,total,146020.21,0.05500,0.08700,0.10300
fsB,1:9,100,16,set,37165.79,0.35100,0.43900,0.51900
fsB,1:9,100,16,get,334490.39,0.35100,0.43900,0.51900
fsB,1:9,100,16,total,371656.18,0.35100,0.43900,0.51900
fsB,1:9,1024,1,set,15306.92,0.05500,0.07900,0.11100
fsB,1:9,1024,1,get,137760.40,0.05500,0.07900,0.10300
fsB,1:9,1024,1,total,153067.32,0.05500,0.07900,0.10300
fsB,1:9,1024,16,set,29180.06,0.43900,0.55100,0.66300
fsB,1:9,1024,16,get,262618.58,0.43900,0.55900,0.67900
fsB,1:9,1024,16,total,291798.64,0.43900,0.55900,0.67900
fsBrev,1:1,100,1,set,34226.31,0.06300,0.09500,0.13500
fsBrev,1:1,100,1,get,34226.06,0.06300,0.09500,0.12700
fsBrev,1:1,100,1,total,68452.37,0.06300,0.09500,0.13500
fsBrev,1:1,100,16,set,61543.09,0.37500,0.50300,518.14300
fsBrev,1:1,100,16,get,61543.09,0.37500,0.50300,518.14300
fsBrev,1:1,100,16,total,123086.19,0.37500,0.50300,518.14300
fsBrev,1:1,1024,1,set,22994.91,0.07100,0.11100,0.20700
fsBrev,1:1,1024,1,get,22994.76,0.06300,0.10300,0.19100
fsBrev,1:1,1024,1,total,45989.67,0.07100,0.11100,0.19900
fsBrev,1:1,1024,16,set,33197.10,0.61500,0.87900,610.30300
fsBrev,1:1,1024,16,get,33196.95,0.61500,0.87900,610.30300
fsBrev,1:1,1024,16,total,66394.05,0.61500,0.87900,610.30300
fsBrev,1:9,100,1,set,8972.74,0.06300,0.10300,0.16700
fsBrev,1:9,100,1,get,80752.63,0.06300,0.10300,0.16700
fsBrev,1:9,100,1,total,89725.37,0.06300,0.10300,0.16700
fsBrev,1:9,100,16,set,15527.47,0.44700,0.53500,2.30300
fsBrev,1:9,100,16,get,139745.24,0.44700,0.53500,1.81500
fsBrev,1:9,100,16,total,155272.71,0.44700,0.53500,1.83900
fsBrev,1:9,1024,1,set,7911.41,0.06300,0.10300,0.54300
fsBrev,1:9,1024,1,get,71201.27,0.06300,0.09500,0.33500
fsBrev,1:9,1024,1,total,79112.68,0.06300,0.09500,0.35100
fsBrev,1:9,1024,16,set,12658.49,0.51100,0.64700,2.46300
fsBrev,1:9,1024,16,get,113924.50,0.51100,0.64700,2.46300
fsBrev,1:9,1024,16,total,126582.99,0.51100,0.64700,2.46300
