arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
fsA_dpdk,64,1.00,156864,4738983,4714364,0.5195,96.262,162.000,164.000,164.000,350.000,36519,2,36519,84,7382,0,0
fsA_dpdk,64,2.00,313111,9453236,9414677,0.4079,83.262,96.000,96.000,96.000,114.000,48740,4,48740,30,0,0,0
fsA_dpdk,64,3.00,469065,14161572,14095341,0.4677,91.867,162.000,164.000,164.000,178.000,54794,5,54794,32,0,0,0
fsA_dpdk,64,4.00,624794,18872549,18792011,0.4267,22.985,134.000,136.000,136.000,222.000,58484,9,58484,129,4121,0,0
fsA_dpdk,64,5.00,780427,23561374,23461322,0.4246,93.447,154.000,156.000,156.000,172.000,52209,10,52209,58,1472,0,0
fsA_dpdk,64,6.00,0,28265361,26255886,7.1093,102.293,104.000,566.000,566.000,566.000,3,7849,3,3,0,0,0
fsA_dpdk,64,8.00,1247771,37672407,26281329,30.2372,109.981,598.000,630.000,630.000,632.000,7739,1099,7739,913,1039,0,0
fsA_dpdk,64,10.00,1559248,47074385,26254774,44.2270,109.839,160.000,574.000,574.000,574.000,4,8592,4,2,1067,0,0
fsA_dpdk,64,12.00,1870743,56479251,26261711,53.5020,117.142,594.000,606.000,628.000,630.000,8934,900,8934,428,0,0,0
fsA_dpdk,64,15.00,2337985,70585175,26291713,62.7518,103.117,594.000,604.000,606.000,940.000,2351,6575,2351,5,847,0,0
fsA_dpdk,64,20.00,3116599,94091796,26292805,72.0562,117.045,594.000,624.000,628.000,630.000,8111,1305,8111,704,0,0,0
fsA_dpdk,64,30.00,4674037,141114717,26287567,81.3715,109.695,568.000,598.000,600.000,602.000,4309,4498,4309,3,1676,0,0
fsA_dpdk,128,1.00,87880,2652801,2643453,0.3524,84.316,96.000,98.000,98.000,102.000,40637,1,40637,3,0,0,0
fsA_dpdk,128,2.00,174279,5264511,5245082,0.3691,95.880,164.000,166.000,166.000,172.000,40631,1,40631,16,0,0,0
fsA_dpdk,128,3.00,260936,7876414,7846603,0.3785,84.538,96.000,98.000,98.000,108.000,40626,1,40626,31,0,0,0
fsA_dpdk,128,4.00,347851,10525790,10477232,0.4613,84.350,96.000,98.000,98.000,162.000,54213,7,54213,104,1094,0,0
fsA_dpdk,128,5.00,558975,13116997,13060451,0.4311,6.728,164.000,166.000,166.000,182.000,50780,4,50780,35,5274,0,0
fsA_dpdk,128,6.00,520663,15721980,15657543,0.4099,95.042,116.000,118.000,118.000,148.000,48736,5,48736,42,63,0,0
fsA_dpdk,128,8.00,693898,20951084,20863802,0.4166,109.957,164.000,166.000,166.000,174.000,54152,6,54152,18,1078,0,0
fsA_dpdk,128,10.00,867147,26179334,25999301,0.6877,110.774,578.000,602.000,636.000,636.000,1649,219,1649,24,0,0,0
fsA_dpdk,128,12.00,1040010,31397545,25945618,17.3642,111.042,112.000,112.000,112.000,112.000,1,7653,1,1,558,0,0
fsA_dpdk,128,15.00,1299571,39234484,25943120,33.8767,110.636,112.000,604.000,604.000,604.000,3,7888,3,2,0,0,0
fsA_dpdk,128,20.00,1732363,52344680,25985696,50.3566,95.336,574.000,608.000,630.000,644.000,3880,887,3880,43,0,0,0
fsA_dpdk,128,30.00,2597417,78418498,25953232,66.9042,112.027,602.000,612.000,636.000,638.000,7263,900,7263,365,1186,0,0
fsA_dpdk,256,1.00,57330,1404363,1399286,0.3615,98.442,102.000,104.000,104.000,106.000,21512,1,21512,2,0,0,0
fsA_dpdk,256,2.00,93015,2808660,2799223,0.3360,98.192,102.000,104.000,104.000,120.000,43024,2,43024,21,0,0,0
fsA_dpdk,256,3.00,138417,4193416,4152187,0.9832,8.504,174.000,176.000,176.000,758.000,32095,6,32095,67,2354,0,0
fsA_dpdk,256,4.00,247422,5574358,5554495,0.3563,103.034,174.000,176.000,176.000,182.000,43019,4,43019,20,0,0,0
fsA_dpdk,256,5.00,230781,6967897,6942688,0.3618,105.287,174.000,176.000,176.000,180.000,53771,3,53771,22,0,0,0
fsA_dpdk,256,6.00,276311,8340378,8309758,0.3671,98.319,102.000,104.000,104.000,106.000,43017,3,43017,25,0,0,0
fsA_dpdk,256,8.00,368309,11120412,11078524,0.3767,97.743,102.000,104.000,104.000,112.000,57349,5,57349,30,0,0,0
fsA_dpdk,256,10.00,459773,13885282,13830759,0.3927,103.428,174.000,176.000,176.000,180.000,53765,7,53765,19,0,0,0
fsA_dpdk,256,12.00,551350,16646388,16579159,0.4039,103.528,138.000,138.000,140.000,154.000,51598,8,51598,22,95,0,0
fsA_dpdk,256,15.00,688797,20796638,20711166,0.4110,34.824,174.000,176.000,176.000,180.000,53744,8,53744,23,0,0,0
fsA_dpdk,256,20.00,917885,27711521,24714609,10.8147,105.283,674.000,676.000,678.000,678.000,263,9446,263,13,399,0,0
fsA_dpdk,256,30.00,0,41544244,24714320,40.5108,103.250,104.000,104.000,104.000,104.000,1,10777,1,1,0,0,0
fsA_dpdk,512,1.00,23985,723467,721880,0.2194,92.986,96.000,96.000,98.000,104.000,11083,0,11083,5,0,0,0
fsA_dpdk,512,2.00,47905,1446936,1443260,0.2541,93.083,96.000,96.000,98.000,102.000,22164,2,22164,9,0,0,0
fsA_dpdk,512,3.00,93795,2170338,2164484,0.2697,92.836,96.000,96.000,98.000,104.000,33247,1,33247,17,0,0,0
fsA_dpdk,512,4.00,95875,2893803,2885753,0.2782,93.172,96.000,96.000,98.000,104.000,44321,3,44321,7,0,0,0
fsA_dpdk,512,5.00,119795,3617270,3607065,0.2821,93.051,96.000,96.000,98.000,104.000,55404,4,55404,26,0,0,0
fsA_dpdk,512,6.00,142674,4307486,4294541,0.3005,7.072,172.000,172.000,174.000,178.000,33231,5,33231,59,0,0,0
fsA_dpdk,512,8.00,190275,5743404,5726144,0.3005,95.106,172.000,172.000,174.000,178.000,44312,6,44312,18,0,0,0
fsA_dpdk,512,10.00,237876,7179513,7157339,0.3089,106.991,172.000,172.000,174.000,182.000,55393,7,55393,28,0,0,0
fsA_dpdk,512,12.00,284675,8592947,8565632,0.3179,92.273,96.000,96.000,98.000,104.000,44308,9,44308,17,0,0,0
fsA_dpdk,512,15.00,355892,10741046,10705153,0.3342,93.191,96.000,98.000,98.000,104.000,55374,11,55374,17,336,0,0
fsA_dpdk,512,20.00,617956,14303095,14252083,0.3567,107.400,172.000,172.000,174.000,178.000,55355,17,55355,14,468,0,0
fsA_dpdk,512,30.00,709806,21426755,21344420,0.3843,106.694,172.000,172.000,174.000,186.000,55337,27,55337,36,0,0,0
